Attacking Type 1,Attacking Type 2,Defending Type 1,Defending Type 2,Effectiveness
Fire,Poison,Electric,Grass,2.0
Fire,Poison,Electric,Ice,1.0
Fire,Poison,Electric,Fighting,1.0
Fire,Poison,Electric,Poison,0.5
Fire,Poison,Electric,Ground,0.5
Fire,Poison,Electric,Flying,1.0
Fire,Poison,Electric,Psychic,1.0
Fire,Poison,Bug,Electric,1.0
Fire,Poison,Electric,Rock,0.5
Fire,Poison,Electric,Ghost,0.5
Fire,Poison,Dragon,Electric,1.0
Fire,Poison,Dark,Electric,1.0
Fire,Poison,Electric,Steel,0.0
Fire,Poison,Electric,Fairy,2.0
Fire,Ground,Electric,Normal,1.0
Fire,Ground,Electric,Fire,2.0
Fire,Ground,Electric,Electric,2.0
Fire,Ground,Electric,Grass,0.5
Fire,Ground,Electric,Ice,1.0
Fire,Ground,Electric,Fighting,1.0
Fire,Ground,Electric,Poison,2.0
Fire,Ground,Electric,Ground,1.0
Fire,Ground,Electric,Flying,0.0
Fire,Ground,Electric,Psychic,1.0
Fire,Ground,Bug,Electric,0.5
Fire,Ground,Electric,Rock,2.0
Fire,Ground,Electric,Ghost,1.0
Fire,Ground,Dragon,Electric,1.0
Fire,Ground,Dark,Electric,1.0
Fire,Ground,Electric,Steel,2.0
Fire,Ground,Electric,Fairy,1.0
Fire,Flying,Electric,Normal,1.0
Fire,Flying,Electric,Fire,1.0
Fire,Flying,Electric,Water,1.0
Fire,Flying,Electric,Electric,0.5
Fire,Flying,Electric,Grass,2.0
Fire,Flying,Electric,Ice,1.0
Fire,Flying,Electric,Fighting,2.0
Fire,Flying,Electric,Poison,1.0
Fire,Flying,Electric,Ground,1.0
Fire,Flying,Electric,Flying,1.0
Fire,Flying,Electric,Psychic,1.0
Fire,Flying,Bug,Electric,2.0
Fire,Flying,Electric,Rock,0.5
Fire,Flying,Electric,Ghost,1.0
Fire,Flying,Dragon,Electric,1.0
Fire,Flying,Dark,Electric,1.0
Fire,Flying,Electric,Steel,0.5
Fire,Flying,Electric,Fairy,1.0
Fire,Psychic,Electric,Fire,1.0
Fire,Psychic,Electric,Water,1.0
Fire,Psychic,Electric,Electric,1.0
Fire,Psychic,Electric,Grass,1.0
Fire,Psychic,Electric,Ice,1.0
Fire,Psychic,Electric,Fighting,2.0
Fire,Psychic,Electric,Poison,2.0
Fire,Psychic,Electric,Ground,1.0
Fire,Psychic,Electric,Flying,1.0
Fire,Psychic,Electric,Psychic,0.5
Fire,Psychic,Bug,Electric,1.0
Fire,Psychic,Electric,Rock,1.0
Fire,Psychic,Electric,Ghost,1.0
Fire,Psychic,Dragon,Electric,1.0
Fire,Psychic,Dark,Electric,0.0
Fire,Psychic,Electric,Steel,0.5
Fire,Psychic,Electric,Fairy,1.0
Bug,Fire,Electric,Water,1.0
Bug,Fire,Electric,Electric,1.0
Bug,Fire,Electric,Grass,2.0
Bug,Fire,Electric,Ice,1.0
Bug,Fire,Electric,Fighting,0.5
Bug,Fire,Electric,Poison,0.5
Bug,Fire,Electric,Ground,1.0
Bug,Fire,Electric,Flying,0.5
Bug,Fire,Electric,Psychic,2.0
Bug,Fire,Bug,Electric,1.0
Bug,Fire,Electric,Rock,1.0
Bug,Fire,Electric,Ghost,0.5
Bug,Fire,Dragon,Electric,1.0
Bug,Fire,Dark,Electric,2.0
Bug,Fire,Electric,Steel,0.5
Bug,Fire,Electric,Fairy,0.5
Fire,Rock,Electric,Fire,2.0
Fire,Rock,Electric,Water,1.0
Fire,Rock,Electric,Electric,1.0
Fire,Rock,Electric,Grass,1.0
Fire,Rock,Electric,Ice,2.0
Fire,Rock,Electric,Fighting,0.5
Fire,Rock,Electric,Poison,1.0
Fire,Rock,Electric,Ground,0.5
Fire,Rock,Electric,Flying,2.0
Fire,Rock,Electric,Psychic,1.0
Fire,Rock,Bug,Electric,2.0
Fire,Rock,Electric,Rock,1.0
Fire,Rock,Electric,Ghost,1.0
Fire,Rock,Dragon,Electric,1.0
Fire,Rock,Dark,Electric,1.0
Fire,Rock,Electric,Steel,0.5
Fire,Rock,Electric,Fairy,1.0
Fire,Ghost,Electric,Normal,0.0
Fire,Ghost,Electric,Fire,1.0
Fire,Ghost,Electric,Water,1.0
Fire,Ghost,Electric,Electric,1.0
Fire,Ghost,Electric,Grass,1.0
Fire,Ghost,Electric,Ice,1.0
Fire,Ghost,Electric,Fighting,1.0
Fire,Ghost,Electric,Poison,1.0
Fire,Ghost,Electric,Ground,1.0
Fire,Ghost,Electric,Flying,1.0
Fire,Ghost,Electric,Psychic,2.0
Fire,Ghost,Bug,Electric,1.0
Fire,Ghost,Electric,Rock,1.0
Fire,Ghost,Electric,Ghost,2.0
Fire,Ghost,Dragon,Electric,1.0
Fire,Ghost,Dark,Electric,0.5
Fire,Ghost,Electric,Steel,1.0
Fire,Ghost,Electric,Fairy,1.0
Dragon,Fire,Electric,Fire,1.0
Dragon,Fire,Electric,Water,1.0
Dragon,Fire,Electric,Electric,1.0
Dragon,Fire,Electric,Grass,1.0
Dragon,Fire,Electric,Ice,1.0
Dragon,Fire,Electric,Fighting,1.0
Dragon,Fire,Electric,Poison,1.0
Dragon,Fire,Electric,Ground,1.0
Dragon,Fire,Electric,Flying,1.0
Dragon,Fire,Electric,Psychic,1.0
Dragon,Fire,Bug,Electric,1.0
Dragon,Fire,Electric,Rock,1.0
Dragon,Fire,Electric,Ghost,1.0
Dragon,Fire,Dragon,Electric,2.0
Dragon,Fire,Dark,Electric,1.0
Dragon,Fire,Electric,Steel,0.5
Dragon,Fire,Electric,Fairy,0.0
Dark,Fire,Electric,Fire,1.0
Dark,Fire,Electric,Water,1.0
Dark,Fire,Electric,Electric,1.0
Dark,Fire,Electric,Grass,1.0
Dark,Fire,Electric,Ice,1.0
Dark,Fire,Electric,Fighting,0.5
Dark,Fire,Electric,Poison,1.0
Dark,Fire,Electric,Ground,1.0
Dark,Fire,Electric,Flying,1.0
Dark,Fire,Electric,Psychic,2.0
Dark,Fire,Bug,Electric,1.0
Dark,Fire,Electric,Rock,1.0
Dark,Fire,Electric,Ghost,2.0
Dark,Fire,Dragon,Electric,1.0
Dark,Fire,Dark,Electric,0.5
Dark,Fire,Electric,Steel,1.0
Dark,Fire,Electric,Fairy,0.5
Fire,Steel,Electric,Normal,1.0
Fire,Steel,Electric,Fire,0.5
Fire,Steel,Electric,Water,0.5
Fire,Steel,Electric,Electric,0.5
Fire,Steel,Electric,Grass,1.0
Fire,Steel,Electric,Ice,2.0
Fire,Steel,Electric,Fighting,1.0
Fire,Steel,Electric,Poison,1.0
Fire,Steel,Electric,Ground,1.0
Fire,Steel,Electric,Flying,1.0
Fire,Steel,Electric,Psychic,1.0
Fire,Steel,Bug,Electric,1.0
Fire,Steel,Electric,Rock,2.0
Fire,Steel,Electric,Ghost,1.0
Fire,Steel,Dragon,Electric,1.0
Fire,Steel,Dark,Electric,1.0
Fire,Steel,Electric,Steel,0.5
Fire,Steel,Electric,Fairy,2.0
Fairy,Fire,Electric,Water,1.0
Fairy,Fire,Electric,Electric,1.0
Fairy,Fire,Electric,Grass,1.0
Fairy,Fire,Electric,Ice,1.0
Fairy,Fire,Electric,Fighting,2.0
Fairy,Fire,Electric,Poison,0.5
Fairy,Fire,Electric,Ground,1.0
Fairy,Fire,Electric,Flying,1.0
Fairy,Fire,Electric,Psychic,1.0
Fairy,Fire,Bug,Electric,1.0
Fairy,Fire,Electric,Rock,1.0
Fairy,Fire,Electric,Ghost,1.0
Fairy,Fire,Dragon,Electric,2.0
Fairy,Fire,Dark,Electric,2.0
Fairy,Fire,Electric,Steel,0.5
Fairy,Fire,Electric,Fairy,1.0
Fire,Fire,Grass,Grass,4.0
Fire,Fire,Grass,Ice,4.0
Fire,Fire,Fighting,Grass,2.0
Fire,Fire,Grass,Poison,2.0
Fire,Fire,Grass,Ground,2.0
Fire,Fire,Flying,Grass,2.0
Fire,Fire,Grass,Psychic,2.0
Fire,Fire,Bug,Grass,4.0
Fire,Fire,Grass,Rock,1.0
Fire,Fire,Ghost,Grass,2.0
Fire,Fire,Dragon,Grass,1.0
Fire,Fire,Dark,Grass,2.0
Fire,Fire,Grass,Steel,4.0
Fire,Fire,Fairy,Grass,2.0
Fire,Water,Grass,Normal,2.0
Fire,Water,Fire,Grass,4.0
Fire,Water,Grass,Water,1.0
Fire,Water,Electric,Grass,2.0
Fire,Water,Grass,Grass,1.0
Fire,Water,Grass,Ice,2.0
Fire,Water,Fighting,Grass,2.0
Fire,Water,Grass,Poison,2.0
Fire,Water,Grass,Ground,4.0
Fire,Water,Flying,Grass,2.0
Fire,Water,Grass,Psychic,2.0
Fire,Water,Bug,Grass,2.0
Fire,Water,Grass,Rock,4.0
Fire,Water,Ghost,Grass,2.0
Fire,Water,Dragon,Grass,1.0
Fire,Water,Dark,Grass,2.0
Fire,Water,Grass,Steel,2.0
Fire,Water,Fairy,Grass,2.0
Electric,Fire,Grass,Normal,2.0
Electric,Fire,Fire,Grass,2.0
Electric,Fire,Grass,Water,4.0
Electric,Fire,Electric,Grass,1.0
Electric,Fire,Grass,Grass,1.0
Electric,Fire,Grass,Ice,2.0
Electric,Fire,Fighting,Grass,2.0
Electric,Fire,Grass,Poison,2.0
Electric,Fire,Grass,Ground,0.0
Electric,Fire,Flying,Grass,4.0
Electric,Fire,Grass,Psychic,2.0
Electric,Fire,Bug,Grass,2.0
Electric,Fire,Grass,Rock,2.0
Electric,Fire,Ghost,Grass,2.0
Electric,Fire,Dragon,Grass,1.0
Electric,Fire,Dark,Grass,2.0
Electric,Fire,Grass,Steel,2.0
Electric,Fire,Fairy,Grass,2.0
Fire,Grass,Grass,Normal,2.0
Fire,Grass,Fire,Grass,1.0
Fire,Grass,Grass,Water,4.0
Fire,Grass,Electric,Grass,2.0
Fire,Grass,Grass,Grass,1.0
Fire,Grass,Grass,Ice,2.0
Fire,Grass,Fighting,Grass,2.0
Fire,Grass,Grass,Poison,1.0
Fire,Grass,Grass,Ground,4.0
Fire,Grass,Flying,Grass,1.0
Fire,Grass,Grass,Psychic,2.0
Fire,Grass,Bug,Grass,1.0
Fire,Grass,Grass,Rock,4.0
Fire,Grass,Ghost,Grass,2.0
Fire,Grass,Dragon,Grass,1.0
Fire,Grass,Dark,Grass,2.0
Fire,Grass,Grass,Steel,1.0
Fire,Grass,Fairy,Grass,2.0
Fire,Ice,Grass,Grass,4.0
Fire,Ice,Grass,Ice,1.0
Fire,Ice,Fighting,Grass,2.0
Fire,Ice,Grass,Poison,2.0
Fire,Ice,Grass,Ground,4.0
Fire,Ice,Flying,Grass,4.0
Fire,Ice,Grass,Psychic,2.0
Fire,Ice,Bug,Grass,2.0
Fire,Ice,Grass,Rock,2.0
Fire,Ice,Ghost,Grass,2.0
Fire,Ice,Dragon,Grass,4.0
Fire,Ice,Dark,Grass,2.0
Fire,Ice,Grass,Steel,1.0
Fire,Ice,Fairy,Grass,2.0
Fighting,Fire,Grass,Normal,4.0
Fighting,Fire,Fire,Grass,2.0
Fighting,Fire,Grass,Water,2.0
Fighting,Fire,Electric,Grass,2.0
Fighting,Fire,Grass,Grass,2.0
Fighting,Fire,Grass,Ice,4.0
Fighting,Fire,Fighting,Grass,2.0
Fighting,Fire,Grass,Poison,1.0
Fighting,Fire,Grass,Ground,2.0
Fighting,Fire,Flying,Grass,1.0
Fighting,Fire,Grass,Psychic,1.0
Fighting,Fire,Bug,Grass,1.0
Fighting,Fire,Grass,Rock,4.0
Fighting,Fire,Ghost,Grass,0.0
Fighting,Fire,Dragon,Grass,2.0
Fighting,Fire,Dark,Grass,4.0
Fighting,Fire,Grass,Steel,4.0
Fighting,Fire,Fairy,Grass,1.0
Fire,Poison,Fire,Grass,2.0
Fire,Poison,Grass,Water,2.0
Fire,Poison,Grass,Grass,4.0
Fire,Poison,Grass,Ice,2.0
Fire,Poison,Fighting,Grass,2.0
Fire,Poison,Grass,Poison,1.0
Fire,Poison,Grass,Ground,1.0
Fire,Poison,Flying,Grass,2.0
Fire,Poison,Grass,Psychic,2.0
Fire,Poison,Bug,Grass,2.0
Fire,Poison,Grass,Rock,1.0
Fire,Poison,Ghost,Grass,1.0
Fire,Poison,Dragon,Grass,2.0
Fire,Poison,Dark,Grass,2.0
Fire,Poison,Grass,Steel,0.0
Fire,Poison,Fairy,Grass,4.0
Fire,Ground,Grass,Normal,2.0
Fire,Ground,Fire,Grass,4.0
Fire,Ground,Grass,Water,2.0
Fire,Ground,Electric,Grass,4.0
Fire,Ground,Grass,Grass,1.0
Fire,Ground,Grass,Ice,2.0
Fire,Ground,Fighting,Grass,2.0
Fire,Ground,Grass,Poison,4.0
Fire,Ground,Grass,Ground,2.0
Fire,Ground,Flying,Grass,0.0
Fire,Ground,Grass,Psychic,2.0
Fire,Ground,Bug,Grass,1.0
Fire,Ground,Grass,Rock,4.0
Fire,Ground,Ghost,Grass,2.0
Fire,Ground,Dragon,Grass,2.0
Fire,Ground,Dark,Grass,2.0
Fire,Ground,Grass,Steel,4.0
Fire,Ground,Fairy,Grass,2.0
Fire,Flying,Fire,Grass,2.0
Fire,Flying,Grass,Water,2.0
Fire,Flying,Electric,Grass,1.0
Fire,Flying,Grass,Grass,4.0
Fire,Flying,Grass,Ice,2.0
Fire,Flying,Fighting,Grass,4.0
Fire,Flying,Grass,Poison,2.0
Fire,Flying,Grass,Ground,2.0
Fire,Flying,Flying,Grass,2.0
Fire,Flying,Grass,Psychic,2.0
Fire,Flying,Bug,Grass,4.0
Fire,Flying,Grass,Rock,1.0
Fire,Flying,Ghost,Grass,2.0
Fire,Flying,Dragon,Grass,2.0
Fire,Flying,Dark,Grass,2.0
Fire,Flying,Grass,Steel,1.0
Fire,Flying,Fairy,Grass,2.0
Fire,Psychic,Grass,Normal,2.0
Fire,Psychic,Fire,Grass,2.0
Fire,Psychic,Grass,Water,2.0
Fire,Psychic,Electric,Grass,2.0
Fire,Psychic,Grass,Grass,2.0
Fire,Psychic,Grass,Ice,2.0
Fire,Psychic,Fighting,Grass,4.0
Fire,Psychic,Grass,Poison,4.0
Fire,Psychic,Grass,Ground,2.0
Fire,Psychic,Flying,Grass,2.0
Fire,Psychic,Grass,Psychic,1.0
Fire,Psychic,Bug,Grass,2.0
Fire,Psychic,Grass,Rock,2.0
Fire,Psychic,Ghost,Grass,2.0
Fire,Psychic,Dragon,Grass,2.0
Fire,Psychic,Dark,Grass,0.0
Fire,Psychic,Grass,Steel,1.0
Fire,Psychic,Fairy,Grass,2.0
Bug,Fire,Grass,Water,2.0
Bug,Fire,Grass,Grass,4.0
Bug,Fire,Grass,Ice,2.0
Bug,Fire,Fighting,Grass,1.0
Bug,Fire,Grass,Poison,1.0
Bug,Fire,Grass,Ground,2.0
Bug,Fire,Flying,Grass,1.0
Bug,Fire,Grass,Psychic,4.0
Bug,Fire,Bug,Grass,2.0
Bug,Fire,Grass,Rock,2.0
Bug,Fire,Ghost,Grass,1.0
Bug,Fire,Dragon,Grass,2.0
Bug,Fire,Dark,Grass,4.0
Bug,Fire,Grass,Steel,1.0
Bug,Fire,Fairy,Grass,1.0
Fire,Rock,Grass,Normal,2.0
Fire,Rock,Fire,Grass,4.0
Fire,Rock,Grass,Water,2.0
Fire,Rock,Electric,Grass,2.0
Fire,Rock,Grass,Grass,2.0
Fire,Rock,Grass,Ice,4.0
Fire,Rock,Fighting,Grass,1.0
Fire,Rock,Grass,Poison,2.0
Fire,Rock,Grass,Ground,1.0
Fire,Rock,Flying,Grass,4.0
Fire,Rock,Grass,Psychic,2.0
Fire,Rock,Bug,Grass,4.0
Fire,Rock,Grass,Rock,2.0
Fire,Rock,Ghost,Grass,2.0
Fire,Rock,Dragon,Grass,2.0
Fire,Rock,Dark,Grass,2.0
Fire,Rock,Grass,Steel,1.0
Fire,Rock,Fairy,Grass,2.0
Fire,Ghost,Grass,Normal,0.0
Fire,Ghost,Fire,Grass,2.0
Fire,Ghost,Grass,Water,2.0
Fire,Ghost,Electric,Grass,2.0
Fire,Ghost,Grass,Grass,2.0
Fire,Ghost,Grass,Ice,2.0
Fire,Ghost,Fighting,Grass,2.0
Fire,Ghost,Grass,Poison,2.0
Fire,Ghost,Grass,Ground,2.0
Fire,Ghost,Flying,Grass,2.0
Fire,Ghost,Grass,Psychic,4.0
Fire,Ghost,Bug,Grass,2.0
Fire,Ghost,Grass,Rock,2.0
Fire,Ghost,Ghost,Grass,4.0
Fire,Ghost,Dragon,Grass,2.0
Fire,Ghost,Dark,Grass,1.0
Fire,Ghost,Grass,Steel,2.0
Fire,Ghost,Fairy,Grass,2.0
Dragon,Fire,Grass,Normal,2.0
Dragon,Fire,Fire,Grass,2.0
Dragon,Fire,Grass,Water,2.0
Dragon,Fire,Electric,Grass,2.0
Dragon,Fire,Grass,Grass,2.0
Dragon,Fire,Grass,Ice,2.0
Dragon,Fire,Fighting,Grass,2.0
Dragon,Fire,Grass,Poison,2.0
Dragon,Fire,Grass,Ground,2.0
Dragon,Fire,Flying,Grass,2.0
Dragon,Fire,Grass,Psychic,2.0
Dragon,Fire,Bug,Grass,2.0
Dragon,Fire,Grass,Rock,2.0
Dragon,Fire,Ghost,Grass,2.0
Dragon,Fire,Dragon,Grass,4.0
Dragon,Fire,Dark,Grass,2.0
Dragon,Fire,Grass,Steel,1.0
Dragon,Fire,Fairy,Grass,0.0
Dark,Fire,Grass,Normal,2.0
Dark,Fire,Fire,Grass,2.0
Dark,Fire,Grass,Water,2.0
Dark,Fire,Electric,Grass,2.0
Dark,Fire,Grass,Grass,2.0
Dark,Fire,Grass,Ice,2.0
Dark,Fire,Fighting,Grass,1.0
Dark,Fire,Grass,Poison,2.0
Dark,Fire,Grass,Ground,2.0
Dark,Fire,Flying,Grass,2.0
Dark,Fire,Grass,Psychic,4.0
Dark,Fire,Bug,Grass,2.0
Dark,Fire,Grass,Rock,2.0
Dark,Fire,Ghost,Grass,4.0
Dark,Fire,Dragon,Grass,2.0
Dark,Fire,Dark,Grass,1.0
Dark,Fire,Grass,Steel,2.0
Dark,Fire,Fairy,Grass,1.0
Fire,Steel,Grass,Normal,2.0
Fire,Steel,Fire,Grass,1.0
Fire,Steel,Grass,Water,1.0
Fire,Steel,Grass,Grass,2.0
Fire,Steel,Grass,Ice,4.0
Fire,Steel,Fighting,Grass,2.0
Fire,Steel,Grass,Poison,2.0
Fire,Steel,Grass,Ground,2.0
Fire,Steel,Flying,Grass,2.0
Fire,Steel,Grass,Psychic,2.0
Fire,Steel,Bug,Grass,2.0
Fire,Steel,Grass,Rock,4.0
Fire,Steel,Ghost,Grass,2.0
Fire,Steel,Dragon,Grass,2.0
Fire,Steel,Dark,Grass,2.0
Fire,Steel,Grass,Steel,1.0
Fire,Steel,Fairy,Grass,4.0
Fairy,Fire,Grass,Normal,2.0
Fairy,Fire,Fire,Grass,1.0
Fairy,Fire,Grass,Water,2.0
Fairy,Fire,Electric,Grass,2.0
Fairy,Fire,Grass,Grass,2.0
Fairy,Fire,Grass,Ice,2.0
Fairy,Fire,Fighting,Grass,4.0
Fairy,Fire,Grass,Poison,1.0
Fairy,Fire,Grass,Ground,2.0
Fairy,Fire,Flying,Grass,2.0
Fairy,Fire,Grass,Psychic,2.0
Fairy,Fire,Bug,Grass,2.0
Fairy,Fire,Grass,Rock,2.0
Fairy,Fire,Ghost,Grass,2.0
Fairy,Fire,Dragon,Grass,4.0
Fairy,Fire,Dark,Grass,4.0
Fairy,Fire,Grass,Steel,1.0
Fairy,Fire,Fairy,Grass,2.0
Fire,Fire,Ice,Ice,4.0
Fire,Fire,Fighting,Ice,2.0
Fire,Fire,Ice,Poison,2.0
Fire,Fire,Ground,Ice,2.0
Fire,Fire,Flying,Ice,2.0
Fire,Fire,Ice,Psychic,2.0
Fire,Fire,Bug,Ice,4.0
Fire,Fire,Ice,Rock,1.0
Fire,Fire,Ghost,Ice,2.0
Fire,Fire,Dragon,Ice,1.0
Fire,Fire,Dark,Ice,2.0
Fire,Fire,Ice,Steel,4.0
Fire,Fire,Fairy,Ice,2.0
Fire,Water,Ice,Normal,2.0
Fire,Water,Fire,Ice,4.0
Fire,Water,Ice,Water,1.0
Fire,Water,Electric,Ice,2.0
Fire,Water,Grass,Ice,1.0
Fire,Water,Ice,Ice,2.0
Fire,Water,Fighting,Ice,2.0
Fire,Water,Ice,Poison,2.0
Fire,Water,Ground,Ice,4.0
Fire,Water,Flying,Ice,2.0
Fire,Water,Ice,Psychic,2.0
Fire,Water,Bug,Ice,2.0
Fire,Water,Ice,Rock,4.0
Fire,Water,Ghost,Ice,2.0
Fire,Water,Dragon,Ice,1.0
Fire,Water,Dark,Ice,2.0
Fire,Water,Ice,Steel,2.0
Fire,Water,Fairy,Ice,2.0
Electric,Fire,Ice,Normal,2.0
Electric,Fire,Fire,Ice,2.0
Electric,Fire,Ice,Water,4.0
Electric,Fire,Grass,Ice,1.0
Electric,Fire,Ice,Ice,2.0
Electric,Fire,Fighting,Ice,2.0
Electric,Fire,Ice,Poison,2.0
Electric,Fire,Ground,Ice,0.0
Electric,Fire,Flying,Ice,4.0
Electric,Fire,Ice,Psychic,2.0
Electric,Fire,Bug,Ice,2.0
Electric,Fire,Ice,Rock,2.0
Electric,Fire,Ghost,Ice,2.0
Electric,Fire,Dragon,Ice,1.0
Electric,Fire,Dark,Ice,2.0
Electric,Fire,Ice,Steel,2.0
Electric,Fire,Fairy,Ice,2.0
Fire,Grass,Ice,Normal,2.0
Fire,Grass,Fire,Ice,1.0
Fire,Grass,Ice,Water,4.0
Fire,Grass,Electric,Ice,2.0
Fire,Grass,Grass,Ice,1.0
Fire,Grass,Ice,Ice,2.0
Fire,Grass,Fighting,Ice,2.0
Fire,Grass,Ice,Poison,1.0
Fire,Grass,Ground,Ice,4.0
Fire,Grass,Flying,Ice,1.0
Fire,Grass,Ice,Psychic,2.0
Fire,Grass,Bug,Ice,1.0
Fire,Grass,Ice,Rock,4.0
Fire,Grass,Ghost,Ice,2.0
Fire,Grass,Dragon,Ice,1.0
Fire,Grass,Dark,Ice,2.0
Fire,Grass,Ice,Steel,1.0
Fire,Grass,Fairy,Ice,2.0
Fire,Ice,Ice,Normal,2.0
Fire,Ice,Fire,Ice,1.0
Fire,Ice,Ice,Water,1.0
Fire,Ice,Electric,Ice,2.0
Fire,Ice,Grass,Ice,4.0
Fire,Ice,Ice,Ice,1.0
Fire,Ice,Fighting,Ice,2.0
Fire,Ice,Ice,Poison,2.0
Fire,Ice,Ground,Ice,4.0
Fire,Ice,Flying,Ice,4.0
Fire,Ice,Ice,Psychic,2.0
Fire,Ice,Bug,Ice,2.0
Fire,Ice,Ice,Rock,2.0
Fire,Ice,Ghost,Ice,2.0
Fire,Ice,Dragon,Ice,4.0
Fire,Ice,Dark,Ice,2.0
Fire,Ice,Ice,Steel,1.0
Fire,Ice,Fairy,Ice,2.0
Fighting,Fire,Ice,Normal,4.0
Fighting,Fire,Fire,Ice,2.0
Fighting,Fire,Ice,Water,2.0
Fighting,Fire,Grass,Ice,2.0
Fighting,Fire,Ice,Ice,4.0
Fighting,Fire,Fighting,Ice,2.0
Fighting,Fire,Ice,Poison,1.0
Fighting,Fire,Ground,Ice,2.0
Fighting,Fire,Flying,Ice,1.0
Fighting,Fire,Ice,Psychic,1.0
Fighting,Fire,Bug,Ice,1.0
Fighting,Fire,Ice,Rock,4.0
Fighting,Fire,Ghost,Ice,0.0
Fighting,Fire,Dragon,Ice,2.0
Fighting,Fire,Dark,Ice,4.0
Fighting,Fire,Ice,Steel,4.0
Fighting,Fire,Fairy,Ice,1.0
Fire,Poison,Ice,Normal,2.0
Fire,Poison,Fire,Ice,2.0
Fire,Poison,Ice,Water,2.0
Fire,Poison,Electric,Ice,2.0
Fire,Poison,Grass,Ice,4.0
Fire,Poison,Ice,Ice,2.0
Fire,Poison,Fighting,Ice,2.0
Fire,Poison,Ice,Poison,1.0
Fire,Poison,Ground,Ice,1.0
Fire,Poison,Flying,Ice,2.0
Fire,Poison,Ice,Psychic,2.0
Fire,Poison,Bug,Ice,2.0
Fire,Poison,Ice,Rock,1.0
Fire,Poison,Ghost,Ice,1.0
Fire,Poison,Dragon,Ice,2.0
Fire,Poison,Dark,Ice,2.0
Fire,Poison,Ice,Steel,0.0
Fire,Poison,Fairy,Ice,4.0
Fire,Ground,Ice,Normal,2.0
Fire,Ground,Fire,Ice,4.0
Fire,Ground,Ice,Water,2.0
Fire,Ground,Electric,Ice,4.0
Fire,Ground,Grass,Ice,1.0
Fire,Ground,Ice,Ice,2.0
Fire,Ground,Fighting,Ice,2.0
Fire,Ground,Ice,Poison,4.0
Fire,Ground,Ground,Ice,2.0
Fire,Ground,Flying,Ice,0.0
Fire,Ground,Ice,Psychic,2.0
Fire,Ground,Bug,Ice,1.0
Fire,Ground,Ice,Rock,4.0
Fire,Ground,Ghost,Ice,2.0
Fire,Ground,Dragon,Ice,2.0
Fire,Ground,Dark,Ice,2.0
Fire,Ground,Ice,Steel,4.0
Fire,Ground,Fairy,Ice,2.0
Fire,Flying,Ice,Normal,2.0
Fire,Flying,Fire,Ice,2.0
Fire,Flying,Ice,Water,2.0
Fire,Flying,Grass,Ice,4.0
Fire,Flying,Ice,Ice,2.0
Fire,Flying,Fighting,Ice,4.0
Fire,Flying,Ice,Poison,2.0
Fire,Flying,Ground,Ice,2.0
Fire,Flying,Flying,Ice,2.0
Fire,Flying,Ice,Psychic,2.0
Fire,Flying,Bug,Ice,4.0
Fire,Flying,Ice,Rock,1.0
Fire,Flying,Ghost,Ice,2.0
Fire,Flying,Dragon,Ice,2.0
Fire,Flying,Dark,Ice,2.0
Fire,Flying,Ice,Steel,1.0
Fire,Flying,Fairy,Ice,2.0
Fire,Psychic,Ice,Normal,2.0
Fire,Psychic,Fire,Ice,2.0
Fire,Psychic,Ice,Water,2.0
Fire,Psychic,Electric,Ice,2.0
Fire,Psychic,Ice,Ice,2.0
Fire,Psychic,Fighting,Ice,4.0
Fire,Psychic,Ice,Poison,4.0
Fire,Psychic,Ground,Ice,2.0
Fire,Psychic,Flying,Ice,2.0
Fire,Psychic,Ice,Psychic,1.0
Fire,Psychic,Bug,Ice,2.0
Fire,Psychic,Ice,Rock,2.0
Fire,Psychic,Ghost,Ice,2.0
Fire,Psychic,Dragon,Ice,2.0
Fire,Psychic,Dark,Ice,0.0
Fire,Psychic,Ice,Steel,1.0
Fire,Psychic,Fairy,Ice,2.0
Bug,Fire,Ice,Normal,2.0
Bug,Fire,Fire,Ice,1.0
Bug,Fire,Ice,Water,2.0
Bug,Fire,Electric,Ice,2.0
Bug,Fire,Grass,Ice,4.0
Bug,Fire,Ice,Ice,2.0
Bug,Fire,Fighting,Ice,1.0
Bug,Fire,Ice,Poison,1.0
Bug,Fire,Ground,Ice,2.0
Bug,Fire,Flying,Ice,1.0
Bug,Fire,Ice,Psychic,4.0
Bug,Fire,Bug,Ice,2.0
Bug,Fire,Ice,Rock,2.0
Bug,Fire,Ghost,Ice,1.0
Bug,Fire,Dragon,Ice,2.0
Bug,Fire,Dark,Ice,4.0
Bug,Fire,Ice,Steel,1.0
Bug,Fire,Fairy,Ice,1.0
Fire,Rock,Fire,Ice,4.0
Fire,Rock,Ice,Water,2.0
Fire,Rock,Grass,Ice,2.0
Fire,Rock,Ice,Ice,4.0
Fire,Rock,Fighting,Ice,1.0
Fire,Rock,Ice,Poison,2.0
Fire,Rock,Ground,Ice,1.0
Fire,Rock,Flying,Ice,4.0
Fire,Rock,Ice,Psychic,2.0
Fire,Rock,Bug,Ice,4.0
Fire,Rock,Ice,Rock,2.0
Fire,Rock,Ghost,Ice,2.0
Fire,Rock,Dragon,Ice,2.0
Fire,Rock,Dark,Ice,2.0
Fire,Rock,Ice,Steel,1.0
Fire,Rock,Fairy,Ice,2.0
